"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max","p_FDR"
"GSE14323_liver: HSF2 vs PADI4 (diseased subset)",96,-0.49633749321758,2.70705548194304e-07,-0.634994379289453,-0.319818118313872,-0.522270436730123,-0.481270996640538,3.24846657833165e-06
"GSE14323_liver: HSF2 vs ELANE (diseased subset)",96,-0.421554530656538,1.89097406019128e-05,-0.586726851500363,-0.230975966516571,-0.446682530795073,-0.403093505039194,7.56389624076513e-05
"GSE14323_liver: HSF2 vs MPO (diseased subset)",96,-0.277482365708085,0.00619805214980969,-0.449491154550598,-0.0906479232329137,-0.301917693169093,-0.255361142217245,0.00929707822471454
"GSE14323_liver: HSF2 vs CTSG (diseased subset)",96,0.0511123168746609,0.620910986663272,-0.175120919452175,0.258702258532782,0.0247200447928331,0.0806270996640538,0.620910986663272
"GSE14323_liver: HSF2 vs LTF (diseased subset)",96,0.176342919153554,0.0856756512936587,-0.0382200648496754,0.365217150315106,0.154185330347144,0.207726763717805,0.10281078155239
"GSE14323_liver: HSF2 vs CAMP (diseased subset)",96,-0.459454693434617,2.49177434275946e-06,-0.60910171477568,-0.283576430553494,-0.47686170212766,-0.442203247480403,1.49506460565567e-05
"GSE14323_liver: HSF2 vs DEFA4 (diseased subset)",96,-0.337086272381986,0.000784093467386497,-0.517249484756739,-0.136210698572562,-0.367021276595745,-0.316111422172452,0.00134416022980542
"GSE14323_liver: HSF2 vs AZU1 (diseased subset)",96,-0.35299782962561,0.000419299609850943,-0.543909095347468,-0.146628392186514,-0.388017917133259,-0.334406494960806,0.00100631906364226
"GSE14323_liver: HSF2 vs ITGAM (diseased subset)",96,0.342905588714053,0.000626037471528486,0.150016681373859,0.526483541603701,0.323586226203807,0.378373460246361,0.00125207494305697
"GSE14323_liver: HSF2 vs NCF2 (diseased subset)",96,0.388442756375475,9.19810617788965e-05,0.198203243393413,0.555620688252143,0.371206606942889,0.426651735722284,0.000275943185336689
"GSE14323_liver: HSF2 vs S100A12 (diseased subset)",96,0.218027672273467,0.0328438951294975,0.0173395720847755,0.408113303045241,0.195590705487122,0.25008398656215,0.0437918601726634
"GSE14323_liver: HSF2 vs LCN2 (diseased subset)",96,0.134848073792729,0.190222811779113,-0.0686444839868411,0.339332636748607,0.111926091825308,0.169092945128779,0.207515794668123
