"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max","p_FDR"
"GSE53845_lung: HSF2 vs PADI4 (IPF subset)",40,0.180675422138837,0.264563788673651,-0.116395881208998,0.458124728523418,0.126720647773279,0.240485829959514,0.453537923440544
"GSE53845_lung: HSF2 vs ELANE (IPF subset)",40,0.075422138836773,0.643690351679808,-0.274549561321898,0.382854153402058,0.0133603238866397,0.121862348178138,0.743145564196227
"GSE53845_lung: HSF2 vs MPO (IPF subset)",40,-0.412382739212007,0.00818695055443488,-0.659902132051786,-0.0982640624251272,-0.461133603238866,-0.367408906882591,0.0196486813306437
"GSE53845_lung: HSF2 vs CTSG (IPF subset)",40,-0.0596622889305816,0.71459033503557,-0.38257321767232,0.257475061900144,-0.10080971659919,0.00951417004048583,0.743145564196227
"GSE53845_lung: HSF2 vs LTF (IPF subset)",40,0.646341463414634,6.63220192557136e-06,0.443406265275149,0.76602768691361,0.622874493927125,0.680161943319838,2.65288077022854e-05
"GSE53845_lung: HSF2 vs CAMP (IPF subset)",40,-0.529455909943715,0.000443033212737576,-0.720128457230673,-0.254940911661457,-0.574493927125506,-0.496153846153846,0.00132909963821273
"GSE53845_lung: HSF2 vs DEFA4 (IPF subset)",40,-0.0968105065666041,0.552333862743369,-0.398860908855271,0.212214176421195,-0.143724696356275,-0.0305668016194332,0.736445150324492
"GSE53845_lung: HSF2 vs AZU1 (IPF subset)",40,-0.0534709193245778,0.743145564196227,-0.40890358287022,0.292313331751203,-0.13663967611336,0.00951417004048583,0.743145564196227
"GSE53845_lung: HSF2 vs ITGAM (IPF subset)",40,-0.346639148559023,0.0284329280570076,-0.602735783305639,-0.0279729962764053,-0.39344096411539,-0.298901766666516,0.0568658561140153
"GSE53845_lung: HSF2 vs NCF2 (IPF subset)",40,-0.664727954971857,2.89604352745206e-06,-0.810015095725995,-0.453865337429357,-0.699797570850202,-0.639676113360324,2.65288077022854e-05
"GSE53845_lung: HSF2 vs S100A12 (IPF subset)",40,-0.118574108818011,0.466169807814994,-0.390121797308046,0.190878498448876,-0.172874493927126,-0.0637651821862348,0.699254711722491
"GSE53845_lung: HSF2 vs LCN2 (IPF subset)",40,0.654814954517451,4.55859355054076e-06,0.432448655173104,0.797893340686232,0.633837745636885,0.725947670346174,2.65288077022854e-05
